bm_9561168.out
bm_9561169.out
bm_9561170.out
bm_9561354.out
bm_9561355.out
bm_9561368.out
bm_9561369.out
bmfollow_9561733.out
q_cycle2-task3_9565562.out
q_mastery-heldout-rep2_9565559.out
q_reps-task2_9565563.out
q_reps-task2b_9566227.out
q_reps-task3-rep2_9565561.out
q_reps-task4_9565564.out
---
JobID                                   JobName  Partition        NodeList               Start                 End    Elapsed      State                                AllocTRES 
------------ ---------------------------------- ---------- --------------- ------------------- ------------------- ---------- ---------- ---------------------------------------- 
9565190                                fm-reps3       gpuq          dgx001 2026-09-05T21:45:20 2026-09-05T21:59:21   00:14:01  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565191                                 fm-armD       gpuq          gpu013 2026-09-05T21:45:20 2026-09-05T21:45:32   00:00:12  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9565192                               fm-cycle2       gpuq          dgx001 2026-09-05T22:01:07 2026-09-05T22:45:34   00:44:27  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565228                                 fm-armD       gpuq          dgx001 2026-09-05T21:46:55 2026-09-05T21:53:06   00:06:11  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565230                               fm-reps0b       gpuq          dgx001 2026-09-05T21:47:58 2026-09-05T22:06:17   00:18:19  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565559             q-a100-mastery-heldout-rep2       gpuq          dgx001 2026-09-05T21:53:13 2026-09-05T22:06:14   00:13:01  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565560             q-a100-armC-perturbed-task0       gpuq          dgx001 2026-09-05T21:59:32 2026-09-05T22:05:11   00:05:39  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565561                  q-a100-reps-task3-rep2       gpuq          dgx001 2026-09-05T22:05:20 2026-09-05T22:22:44   00:17:24  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565562                     q-a100-cycle2-task3       gpuq          dgx001 2026-09-05T22:06:23 2026-09-05T22:48:01   00:41:38  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565563                        q-mig-reps-task2       gpuq          gpu013 2026-09-05T21:52:42 2026-09-05T21:52:55   00:00:13  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9565564                        q-mig-reps-task4       gpuq          gpu014 2026-09-05T21:52:42 2026-09-05T22:28:42   00:36:00  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9565857                  q-a100-mastery2-phase0       gpuq          dgx001 2026-09-05T22:06:23 2026-09-05T22:10:35   00:04:12  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9565866                   q-a100-mastery2-sleep       gpuq          dgx001 2026-09-05T22:10:37 2026-09-05T22:43:35   00:32:58  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9566227                       q-mig-reps-task2b       gpuq          gpu013 2026-09-05T22:27:15 2026-09-05T23:02:33   00:35:18  COMPLETED billing=40,cpu=8,gres/gpu:3g.40gb=1,gre+ 
9566263                   q-a100-protocolP-25mm       gpuq          dgx001 2026-09-05T22:28:15 2026-09-05T23:00:47   00:32:32  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
9566264              q-a100-armD-task0-coachfix       gpuq          dgx001 2026-09-05T22:43:41 2026-09-05T23:11:10   00:27:29  COMPLETED billing=80,cpu=8,gres/gpu:a100.40gb=1,g+ 
